product_name,price_tag,currency (IDR),link_product
Adidas Yeezy Foam RNR MX Cinder,920000,IDR,https://www.kickavenue.com/sneakers/yeezy/adidas-yeezy-foam-rnr-mx-cinder-id4126-ka/61722?from=search
Nike Air Force 1 '07 Fresh White,930000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-07-fresh-white-dm0211-002-ka/76120?from=search
New Balance 530 Steel Grey,950000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-530-steel-grey-mr530ka-ka-2/34089?from=search
Nike Giannis Immortality 4 EP Black Raspberry,950000,IDR,https://www.kickavenue.com/sneakers/nike/nike-giannis-immortality-4-ep-black-raspberry-fq3681-500-ka/113412?from=search
Nike Dunk Low Championship Red (2021),950000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-championship-red-2021-dd1391-600-ka/24925?from=search
Nike Dunk Low Retro White Black Panda,950000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-retro-white-black-panda-dd1391-100-ka/17266?from=search
Nike Air Max Plus Black Suede Silver (Women's),970000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-max-plus-black-suede-silver-w-dq0850-001-ka/77338?from=search
Nike Air Force 1 '07 Sail And Limestone (Women's),990000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-07-sail-and-limestone-w-hf4263-133-ka/103727?from=search
Vans Vault Knu Skool Black White,990000,IDR,https://www.kickavenue.com/sneakers/vans/vans-vault-knu-skool-black-white-vn0009qc6bt-ka/58101?from=search
Nike Air Force 1 '07 White (Women's),990000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-07-triple-white-w-dd8959-100-ka/16882?from=search
Nike Initiator Light Bone Grey,1000000,IDR,https://www.kickavenue.com/sneakers/nike/nike-initiator-light-bone-grey-hq1179-001-ka/114622?from=search
Air Jordan 1 Retro High Light Smoke Grey,1000000,IDR,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-retro-high-light-smoke-grey-555088-126-ka-2/9301?from=search
Puma Palermo Leather White Archive Green Gum,1000000,IDR,https://www.kickavenue.com/sneakers/puma/puma-palermo-leather-white-archive-green-gum-396464-07-ka/112250?from=search
Yeezy Boost 350 V2 Bred (Black/Red),1000000,IDR,https://www.kickavenue.com/sneakers/yeezy/yeezy-boost-350-v2-bred-blackred-cp9652-ka/903?from=search
Nike Air Max 97 White Wolf Grey,1000000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-max-97-white-wolf-grey-921826-101-ka/1286?from=search
Air Jordan 1 Low Bred Toe 2.0,1000000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-low-bred-toe-20-553558-161-ka/72513?from=search
Air Jordan 1 Retro High OG Heirloom,1000000,IDR,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-retro-high-og-heirloom-555088-202-ka-2/37629?from=search
New Balance 530 Ivory,1000000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-530-ivory-mr530sh-ka-2/33682?from=search
Nike Dunk Low Grey Fog,1000000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-grey-fog-dd1391-103-ka/26263?from=search
ASICS Gel Contend 4 Beige Lotus Root (Women's),1010000,IDR,https://www.kickavenue.com/sneakers/asics/asics-gel-contend-4-beige-lotus-root-w-t8d9q-106-ka/100088?from=search
Nike V2K Run Light Bone Metallic Platinum (Women's),1070000,IDR,https://www.kickavenue.com/sneakers/nike/nike-v2k-run-light-bone-metallic-platinum-w-fz3596-072-ka/80142?from=search
Adidas Yeezy Slide Slate Marine,1070000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-yeezy-slide-slate-marine-id2349-ka/67939?from=search
New Balance 530 White Moonbeam,1100000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-530-white-beige-mr530aa1-ka/59021?from=search
Onitsuka Tiger Mexico 66 Slip-On Birch Midnight,1100000,IDR,https://www.kickavenue.com/sneakers/onitsuka-tiger/onitsuka-tiger-mexico-66-slip-on-birch-midnight-1183a360-205-ka/108295?from=search
Adidas Campus 00's Core Black,1100000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-campus-00s-core-black-hq8708-ka/59619?from=search
Nike P-6000 Phantom Obsidian,1100000,IDR,https://www.kickavenue.com/sneakers/nike/nike-p-6000-phantom-obsidian-cd6404-018-ka/108672?from=search
Air Jordan 1 Retro Low OG University Red,1100000,IDR,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-retro-low-og-university-red-cz0790-161-ka/72828?from=search
Nike Dunk Low Redwood,1100000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-redwood-dv0833-115-ka/113678?from=search
Adidas Campus 00's Dark Green Cloud White,1110000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-campus-00s-dark-green-cloud-white-h03472-ka/59620?from=search
Puma Palermo Leather White Club Red,1110000,IDR,https://www.kickavenue.com/sneakers/puma/puma-palermo-leather-white-club-red-396464-05-ka/112261?from=search
Vans Rowan Olive Black,1140000,IDR,https://www.kickavenue.com/sneakers/vans/vans-rowan-olive-black-vn0a5jicbiq-ka/76749?from=search
New Balance 480 Castlerock Rain Cloud,1150000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-480-castlerock-rain-cloud-bb480lec-ka/105657?from=search
Air Jordan 1 Low Vintage Grey,1150000,IDR,https://www.kickavenue.com/sneakers/air-jordan/jordan-1-low-vintage-grey-553558-053-ka-2/34822?from=search
New Balance 530 Silver Cream,1160000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-530-silver-cream-mr530ta-ka/71610?from=search
Puma Palermo Alpine Snow,1160000,IDR,https://www.kickavenue.com/sneakers/puma/puma-palermo-alpine-snow-396463-11-ka/108346?from=search
Adidas Handball Spezial Core Black,1160000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-handball-spezial-core-black-ih9983-ka/104035?from=search
Nike Dunk Low Next Nature Beige Sail (Women's),1170000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-next-nature-beige-sail-w-dd1873-200-ka/69689?from=search
Puma Palermo Leather Black Feather Grey Gum,1170000,IDR,https://www.kickavenue.com/sneakers/puma/puma-palermo-leather-black-feather-grey-gum-396464-03-ka/108474?from=search
Yeezy Slide Onyx,1180000,IDR,https://www.kickavenue.com/sneakers/yeezy/yeezy-slide-onyx-hq6448-ka/30407?from=search
Puma Palermo Leather White Vapor Grey Gum,1180000,IDR,https://www.kickavenue.com/sneakers/puma/puma-palermo-leather-white-vapor-grey-gum-396464-01-ka/79299?from=search
New Balance 530 White Navy,1190000,IDR,https://www.kickavenue.com/sneakers/new-balance/jordan-jordan-westbrook-one-take-black-mr530ba-ka/94868?from=search
Adidas Campus 00s Grey White,1190000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-campus-00s-grey-white-hq8707-ka/57880?from=search
Nike P-6000 Triple Black,1200000,IDR,https://www.kickavenue.com/sneakers/nike/nike-p-6000-triple-black-hf1052-010-ka/103975?from=search
Nike Dunk Low Next Nature Aster Pink (Women's),1200000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-next-nature-aster-pink-w-dd1873-600-ka/110989?from=search
Salomon XT-6 White Lunar Rock,1200000,IDR,https://www.kickavenue.com/sneakers/salomon/salomon-xt-6-white-lunar-rock-412529l41252900-ka/58552?from=search
